gsn,drugname,strength,dosetype, price 
000389,LISINOPRIL/HYDROCHLOROTHIAZIDE,20 MG-25MG,TABLET, $0.05 
000390,LISINOPRIL,10 MG,TABLET, $0.02 
000391,LISINOPRIL,20 MG,TABLET, $0.02 
000392,LISINOPRIL,40 MG,TABLET, $0.04 
000393,LISINOPRIL,5 MG,TABLET, $0.02 
000400,METYROSINE,250 MG,CAPSULE, $224.25 
000412,METOPROLOL/HYDROCHLOROTHIAZIDE,100MG-25MG,TABLET, $1.19 
000413,METOPROLOL/HYDROCHLOROTHIAZIDE,50 MG-25MG,TABLET, $1.14 
000414,METOPROLOL/HYDROCHLOROTHIAZIDE,100MG-50MG,TABLET, $1.25 
000419,ATENOLOL/CHLORTHALIDONE,100MG-25MG,TABLET, $0.59 
000420,ATENOLOL/CHLORTHALIDONE,50 MG-25MG,TABLET, $0.47 
000431,IOPAMIDOL,300 MG/ML,VIAL, $0.58 
000432,IOPAMIDOL,370 MG/ML,VIAL, $0.65 
000465,NITROGLYCERIN,0.4MG/HR,PATCH TD24, $1.12 
000466,NITROGLYCERIN,0.6MG/HR,PATCH TD24, $1.53 
000467,NITROGLYCERIN,0.1MG/HR,PATCH TD24, $16.75 
000468,NITROGLYCERIN,0.2MG/HR,PATCH TD24, $0.90 
000474,NITROGLYCERIN,0.3 MG,TAB SUBL, $0.14 
000475,NITROGLYCERIN,0.4 MG,TAB SUBL, $0.13 
000476,NITROGLYCERIN,0.6 MG,TAB SUBL, $0.17 
000507,ISOSORBIDE DINITRATE,10 MG,TABLET, $0.54 
000508,ISOSORBIDE DINITRATE,20 MG,TABLET, $0.48 
000509,ISOSORBIDE DINITRATE,30 MG,TABLET, $0.70 
000510,ISOSORBIDE DINITRATE,40 MG,TABLET, $13.18 
000511,ISOSORBIDE DINITRATE,5 MG,TABLET, $0.32 
000527,PAPAVERINE HCL,30 MG/ML,VIAL, $12.38 
000561,VERAPAMIL HCL,2.5 MG/ML,AMPUL, $12.71 
000563,VERAPAMIL HCL,2.5 MG/ML,VIAL, $1.32 
000564,VERAPAMIL HCL,120 MG,TABLET, $0.09 
000565,VERAPAMIL HCL,40 MG,TABLET, $0.20 
000566,VERAPAMIL HCL,80 MG,TABLET, $0.06 
000567,VERAPAMIL HCL,240 MG,TABLET ER, $0.24 
000568,NIFEDIPINE,10 MG,CAPSULE, $0.57 
000569,NIFEDIPINE,20 MG,CAPSULE, $1.50 
000570,DILTIAZEM HCL,120 MG,CAP ER 12H, $4.49 
000571,DILTIAZEM HCL,60 MG,CAP ER 12H, $3.02 
000572,DILTIAZEM HCL,90 MG,CAP ER 12H, $3.44 
000573,DILTIAZEM HCL,120 MG,TABLET, $0.41 
000574,DILTIAZEM HCL,30 MG,TABLET, $0.10 
000575,DILTIAZEM HCL,60 MG,TABLET, $0.12 
000576,DILTIAZEM HCL,90 MG,TABLET, $0.13 
000577,NICARDIPINE HCL,20 MG,CAPSULE, $2.15 
000578,NICARDIPINE HCL,30 MG,CAPSULE, $2.14 
000579,NIMODIPINE,30 MG,CAPSULE, $2.68 
000586,SODIUM CHLORIDE FOR INHALATION,0.9 %,VIAL-NEB, $0.03 
000591,ACETYLCYSTEINE,100 MG/ML,VIAL, $0.93 
000592,ACETYLCYSTEINE,200 MG/ML,VIAL, $0.78 
000625,GUAIFEN/DEXTROMETHORPHAN/PE,100-10-5MG,LIQUID, $0.03 
000652,GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,LIQUID, $0.01 
000702,GUAIFENESIN/PHENYLEPHRINE HCL,100-5 MG/5,LIQUID, $0.07 
000758,GUAIFENESIN,200 MG/5ML,LIQUID, $0.01 
000761,GUAIFENESIN,200 MG,TABLET, $0.04 
000846,HYDROCODONE BIT/HOMATROP ME-BR,5 MG-1.5MG,TABLET, $0.66 
000867,ACETAMINOPHEN/CHLORPHENIRAMINE,325MG-2MG,TABLET, $0.40 
000909,BROMPHENIRAMINE/PSEUDOEPHED/DM,2-30-10/5,SYRUP, $0.12 
001153,DEXBROMPHENIRAMINE/PSEUDOEPHED,2 MG-60 MG,TABLET, $0.29 
001166,"WATER FOR INJECTION,STERILE",,IV SOLN, $0.01 
001167,"WATER FOR INJECTION,STERILE",,VIAL, $0.08 
001181,SODIUM BICARBONATE,1 MEQ/ML,SYRINGE, $0.64 
001182,SODIUM BICARBONATE,0.5MEQ/ML,VIAL, $1.97 
001185,SODIUM BICARBONATE,1 MEQ/ML,VIAL, $0.16 
001187,"RINGER'S SOLUTION,LACTATED",,IV SOLN, $0.00 
001188,"RINGER'S SOLUTION,LACTATED",,IRRIG SOLN, $0.01 
001192,DISULFIRAM,250 MG,TABLET, $2.28 
001193,DISULFIRAM,500 MG,TABLET, $14.00 
001194,SODIUM POLYSTYRENE SULFONATE,,POWDER, $0.21 
001198,POTASSIUM CHLORIDE IN 0.9%NACL,20 MEQ/L,IV SOLN, $0.01 
001199,POTASSIUM CHLORIDE IN 0.9%NACL,40 MEQ/L,IV SOLN, $0.02 
001205,SODIUM ACETATE,2 MEQ/ML,VIAL, $0.31 
001206,SODIUM ACETATE,4 MEQ/ML,VIAL, $0.28 
001209,SODIUM CHLORIDE 0.45 %,0.45 %,IV SOLN, $0.00 
001210,0.9 % SODIUM CHLORIDE,0.9 %,IV SOLN, $0.00 
001211,SODIUM CHLORIDE 3 %,3 %,IV SOLN, $0.01 
001213,SODIUM CHLORIDE 5 %,5 %,IV SOLN, $0.02 
001218,SODIUM CHLORIDE 0.9 % (FLUSH),0.9 %,SYRINGE, $0.04 
001219,SODIUM CHLORIDE,2.5 MEQ/ML,VIAL, $0.18 
001220,SODIUM CHLORIDE,4 MEQ/ML,VIAL, $0.26 
001221,0.9 % SODIUM CHLORIDE,0.9 %,VIAL, $0.10 
001233,"SOD PHOSPHATE,MONOBASIC-DIBAS",3MMOL/ML,VIAL, $3.44 
001241,POTASSIUM ACETATE,2 MEQ/ML,VIAL, $0.24 
001248,POTASSIUM CHLORIDE,10 MEQ,CAPSULE ER, $0.22 
001249,POTASSIUM CHLORIDE,8 MEQ,CAPSULE ER, $0.24 
001255,POTASSIUM CHLORIDE,2 MEQ/ML,VIAL, $0.26 
001262,POTASSIUM CHLORIDE,20 MEQ,PACKET, $1.21 
001264,POTASSIUM CHLORIDE,20MEQ/15ML,LIQUID, $0.05 
001266,POTASSIUM CHLORIDE,40MEQ/15ML,LIQUID, $0.13 
001275,POTASSIUM CHLORIDE,10 MEQ,TABLET ER, $0.13 
001276,POTASSIUM CHLORIDE,20 MEQ,TABLET ER, $0.32 
001278,POTASSIUM CHLORIDE,8 MEQ,TABLET ER, $0.12 
001285,"POTASSIUM PHOS,M-BASIC-D-BASIC",3MMOL/ML,VIAL, $1.26 
001340,CALCIUM CARBONATE,500(1250),TABLET, $0.02 
001344,CALCIUM CARBONATE,500(1250),TAB CHEW, $0.10 
001349,CALCIUM CHLORIDE,100 MG/ML,SYRINGE, $1.50 
001350,CALCIUM CHLORIDE,100 MG/ML,VIAL, $0.95 
001356,CALCIUM GLUCONATE,100 MG/ML,VIAL, $0.43 
001394,"MAG SULF/VIT BCOMP,C/ZINC",,CAPSULE, $0.08 
001395,"MAG SULF/VIT BCOMP,C/ZINC",,TABLET, $0.08 
001406,MAGNESIUM OXIDE,250 MG,TABLET, $0.03 
001408,MAGNESIUM OXIDE,400 MG,TABLET, $0.01 
001409,MAGNESIUM OXIDE,420 MG,TABLET, $0.05 
001417,MAGNESIUM SULFATE,500 MG/ML,VIAL, $0.31 
001422,MAGNESIUM,200 MG,TABLET, $0.04 
001427,RINGER'S SOLUTION,,IV SOLN, $0.01 
001431,ELECTROLYTES/DEXTROSE,,SOLUTION, $0.01 
001447,ELECTROLYTE-A SOLUTION,,IV SOLN, $0.03 
001460,ELECTROLYTE-148 SOLUTION,,IV SOLN, $0.02 
001617,FERROUS FUMARATE,324(106)MG,TABLET, $0.25 
001627,IRON POLYSACCHARIDE COMPLEX,150 MG,CAPSULE, $0.12 
001640,FERROUS SULFATE,300 MG/5ML,LIQUID, $0.50 
001645,FERROUS SULFATE,325(65) MG,TABLET, $0.01 
001646,FERROUS SULFATE,325(65) MG,TABLET DR, $0.12 
001651,ZINC CHLORIDE,1 MG/ML,VIAL, $3.47 
001654,ZINC GLUCONATE,30 MG,TABLET, $0.05 
001656,ZINC GLUCONATE,50 MG,TABLET, $0.03 
001660,ZINC SULFATE,1 MG/ML,VIAL, $1.78 
001662,ZINC SULFATE,5 MG/ML,VIAL, $7.36 
001665,ZINC SULFATE,50(220)MG,TABLET, $0.02 
001711,"SOD PHOS DI, MONO/K PHOS MONO",250 MG,TABLET, $1.07 
001716,SELENIUM,200 MCG,TABLET, $0.04 
001717,SELENIUM,50 MCG,TABLET, $0.03 
001723,"INSULIN REGULAR, HUMAN",100/ML,VIAL, $15.94 
001740,INSULIN NPH HUMAN ISOPHANE,100/ML,VIAL, $15.94 
001773,GLYBURIDE,1.25 MG,TABLET, $0.15 
001774,GLYBURIDE,2.5 MG,TABLET, $0.09 
001775,GLYBURIDE,5 MG,TABLET, $0.05 
001776,GLIPIZIDE,10 MG,TABLET, $0.06 
001777,GLIPIZIDE,5 MG,TABLET, $0.03 
001780,ELECTROLYTES/DEXTROSE,,PACKET, $0.94 
001781,DEXTROSE,40 %,GEL (GRAM), $0.14 
001829,"AMINO ACIDS/MV,IRON,MIN",,TABLET, $0.08 
001863,AMINO ACIDS,,POWDER, $0.29 
001865,AMINO ACIDS,,TABLET, $0.22 
001868,ARGININE,500 MG,CAPSULE, $0.06 
001871,ARGININE,500 MG,TABLET, $0.09 
001880,LYSINE,500 MG,TABLET, $0.03 
001943,MEDIUM CHAIN TRIGLYCERIDES,7.7KCAL/ML,OIL, $0.09 
001949,POTASSIUM CHLORIDE IN D5W,20 MEQ/L,IV SOLN, $0.01 
001969,VITAMIN B COMP AND C/D5W,5 %,IV SOLN, $0.08 
001972,DEXTROSE 5 % IN WATER,5 %,IV SOLN, $0.01 
001978,DEXTROSE 10 % IN WATER,10 %,IV SOLN, $0.01 
001989,DEXTROSE 50 % IN WATER,50 %,SYRINGE, $0.54 
001993,DEXTROSE 70 % IN WATER,70 %,IV SOLN, $0.02 
001999,DEXTROSE 2.5 % AND 0.45 % NACL,2.5%-0.45%,IV SOLN, $0.01 
002000,VIT B COMPLX C/D5-0.9% SOD CLR,,IV SOLN, $0.08 
002001,DEXTROSE 5 % AND 0.9 % NACL,5 %-0.9 %,IV SOLN, $0.01 
002002,POTASSIUM CHLORIDE/D5-0.45NACL,10 MEQ/L,IV SOLN, $0.01 
002003,POTASSIUM CHLORIDE/D5-0.45NACL,20 MEQ/L,IV SOLN, $0.01 
002004,POTASSIUM CHLORIDE/D5-0.45NACL,30 MEQ/L,IV SOLN, $0.01 
002005,POTASSIUM CHLORIDE/D5-0.45NACL,40 MEQ/L,IV SOLN, $0.01 
002006,DEXTROSE 5 %-0.45 % SOD CHLORD,5 %-0.45 %,IV SOLN, $0.01 
002011,DEXTROSE 5 % AND 0.3 % NACL,5 %-0.3 %,IV SOLN, $0.01 
002013,POTASSIUM CHLORIDE/D5-0.2%NACL,20 MEQ/L,IV SOLN, $0.02 
002016,DEXTROSE 5 %-0.2 % SOD CHLORID,5 %-0.2 %,IV SOLN, $0.01 
002024,POTASSIUM CHLORIDE IN LR-D5,20 MEQ/L,IV SOLN, $0.02 
002026,DEXTROSE 5%-LACTATED RINGERS,5 %,IV SOLN, $0.01 
002037,VITAMIN A,3000 MCG,CAPSULE, $0.06 
002047,"VITS A,C,E/ZINC/SELENIUM",,CAPSULE, $0.08 
002049,BETA-CAROTENE,7500 MCG,CAPSULE, $0.07 
002064,VITAMIN B COMPLEX,,CAPSULE, $0.07 
002068,VITAMIN B COMPLEX,,TABLET, $0.02 
002124,ASCORBIC ACID,500 MG,CAPSULE ER, $0.05 
002132,ASCORBIC ACID,500 MG/ML,VIAL, $1.45 
002144,ASCORBIC ACID,1000 MG,TABLET, $0.05 
002148,ASCORBIC ACID,250 MG,TABLET, $0.02 
002151,ASCORBIC ACID,500 MG,TABLET, $0.02 
002154,ASCORBIC ACID,250 MG,TAB CHEW, $0.06 
002156,ASCORBIC ACID,500 MG,TAB CHEW, $0.03 
002161,ASCORBIC ACID,1000 MG,TABLET ER, $0.06 
002163,ASCORBIC ACID,500 MG,TABLET ER, $0.03 
002169,ERGOCALCIFEROL (VITAMIN D2),1250 MCG,CAPSULE, $0.21 
002171,ERGOCALCIFEROL (VITAMIN D2),200 MCG/ML,DROPS, $0.59 
002173,CHOLECALCIFEROL (VITAMIN D3),25 MCG,CAPSULE, $0.04 
002174,CHOLECALCIFEROL (VITAMIN D3),10 MCG,CAPSULE, $0.02 
002184,CALCITRIOL,0.25 MCG,CAPSULE, $0.15 
002185,CALCITRIOL,0.5 MCG,CAPSULE, $0.35 
002186,CALCITRIOL,1 MCG/ML,AMPUL, $4.88 
002188,COD LIVER OIL,,CAPSULE, $0.05 
002214,VITAMIN E,268 MG,CAPSULE, $0.09 
002281,MULTIVITAMIN WITH IRON,,TAB CHEW, $0.06 
002285,MULTIVITAMIN,,TAB CHEW, $0.05 
002287,BIOTIN,10000 MCG,CAPSULE, $0.20 
002301,PHYTONADIONE (VIT K1),10 MG/ML,AMPUL, $26.30 
002305,PHYTONADIONE (VIT K1),5 MG,TABLET, $30.05 
002311,PHYTONADIONE (VIT K1),100 MCG,TABLET, $0.02 
002329,CYANOCOBALAMIN (VITAMIN B-12),1000MCG/ML,VIAL, $0.37 
002336,CYANOCOBALAMIN (VITAMIN B-12),100 MCG,TABLET, $0.03 
002337,CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,TABLET, $0.03 
002339,CYANOCOBALAMIN (VITAMIN B-12),250 MCG,TABLET, $0.02 
002341,CYANOCOBALAMIN (VITAMIN B-12),500 MCG,TABLET, $0.02 
002342,CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,TABLET ER, $0.04 
002345,CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,TAB SUBL, $0.05 
002362,FOLIC ACID,5 MG/ML,VIAL, $3.35 
002364,FOLIC ACID,0.4 MG,TABLET, $0.01 
002365,FOLIC ACID,0.8 MG,TABLET, $0.01 
002366,FOLIC ACID,1 MG,TABLET, $0.02 
002379,NIACIN,250 MG,CAPSULE ER, $0.06 
002386,NIACIN,100 MG,TABLET, $0.01 
002389,NIACIN,250 MG,TABLET, $0.05 
002391,NIACIN,500 MG,TABLET, $0.04 
002394,NIACIN,250 MG,TABLET ER, $0.03 
002395,NIACIN,500 MG,TABLET ER, $0.06 
002396,NIACIN,750 MG,TABLET ER, $0.10 
002403,NIACINAMIDE,500 MG,TABLET, $0.03 
002419,PYRIDOXINE HCL (VITAMIN B6),100 MG/ML,VIAL, $10.49 
002421,PYRIDOXINE HCL (VITAMIN B6),100 MG,TABLET, $0.04 
002423,PYRIDOXINE HCL (VITAMIN B6),25 MG,TABLET, $0.01 
002424,PYRIDOXINE HCL (VITAMIN B6),250 MG,TABLET, $0.09 
002427,PYRIDOXINE HCL (VITAMIN B6),50 MG,TABLET, $0.02 
002436,RIBOFLAVIN (VITAMIN B2),100 MG,TABLET, $0.07 
002437,RIBOFLAVIN (VITAMIN B2),25 MG,TABLET, $0.05 
002440,RIBOFLAVIN (VITAMIN B2),50 MG,TABLET, $0.05 
002446,THIAMINE HCL,100 MG/ML,VIAL, $3.83 
002451,THIAMINE HCL,100 MG,TABLET, $0.04 
002453,THIAMINE HCL,250 MG,TABLET, $0.06 
002455,THIAMINE HCL,50 MG,TABLET, $0.05 
002460,VITAMINS A AND D,,CAPSULE, $0.08 
002461,VITAMINS A AND D,,TABLET, $0.08 
002462,VITAMIN B COMP AND C/ZINC,,CAPSULE ER, $0.08 
002464,B-COMPLEX WITH VITAMIN C,,CAPSULE, $0.08 
002465,B-COMPLEX WITH VITAMIN C,,CAPSULE ER, $0.08 
002467,B-COMPLEX WITH VITAMIN C,,VIAL, $0.08 
002468,B-COMPLEX WITH VITAMIN C,,VIAL, $0.08 
002470,B-COMPLEX WITH VITAMIN C,,TABLET, $0.08 
002472,B-COMPLEX WITH VITAMIN C,,TABLET ER, $0.08 
002474,HEXAVITAMINS,,LIQUID, $0.08 
002475,HEXAVITAMINS,,TABLET, $0.08 
002477,"MULTIVIT,STRESS FORMULA/ZINC",,TABLET, $0.08 
002478,"MULTIVIT,STRESS FORMULA/ZINC",,TABLET ER, $0.08 
002481,"MULTIVITAMIN,STRESS FORMULA",,CAPSULE, $0.08 
002482,"MULTIVITAMIN,STRESS FORMULA",,TABLET, $0.08 
002483,"MULTIVITAMIN,STRESS FORMULA",,COMBO. PKG, $0.08 
002485,"MULTIVIT,TX WITH IRON,MINERALS",,TABLET, $0.08 
002486,"MULTIVIT,TX WITH IRON,MINERALS",,TABLET ER, $0.08 
002487,"MULTIVIT WITH IRON,MINERALS",,CAPSULE, $0.08 
002488,"MULTIVIT WITH IRON,MINERALS",,ELIXIR, $0.08 
002489,"MULTIVIT WITH IRON,MINERALS",,TABLET, $0.08 
002490,"MULTIVIT WITH IRON,MINERALS",,TABLET ER, $0.08 
002491,"MV,CA,FE,MIN/HERBAL DRUGS",,CAPSULE, $0.08 
002492,"MULTIVIT,THX,CALCIUM,IRON,MINS",,TABLET, $0.08 
002493,"MULTIVIT WITH CALCIUM,IRON,MIN",,TABLET, $0.08 
002494,"MULTIVIT WITH CALCIUM,IRON,MIN",,COMBO. PKG, $0.08 
002497,"MULTIVITAMIN WITH IRON,LIVER",,VIAL, $0.08 
002498,"MULTIVITAMIN WITH IRON,LIVER",,TABLET, $0.08 
002499,"MULTIVIT,THER.W-IRON,HEMATINIC",,CAPSULE, $0.08 
002500,"MULTIVIT,THER.W-IRON,HEMATINIC",,TABLET, $0.08 
002501,"MULTIVIT WITH IRON,HEMATINIC",,CAPSULE, $0.08 
002503,"MULTIVIT WITH IRON,HEMATINIC",,TABLET, $0.08 
002507,MULTIVITAMIN WITH IRON,,LIQUID, $0.08 
002508,MULTIVITAMIN WITH IRON,,TABLET, $0.08 
002510,"MULTIVITAMIN,THER AND MINERALS",,CAPSULE, $0.08 
002511,"MULTIVITAMIN,THER AND MINERALS",,TABLET, $0.08 
002512,MULTIVITAMIN WITH MINERALS,,CAPSULE, $0.08 
002513,MULTIVITAMIN WITH MINERALS,,POWDER, $0.08 
002514,MULTIVITAMIN WITH MINERALS,,LIQUID, $0.08 
002515,MULTIVITAMIN WITH MINERALS,,SYRUP, $0.08 
002516,MULTIVITAMIN WITH MINERALS,,TABLET, $0.08 
002517,MULTIVITAMIN WITH MINERALS,,TAB CHEW, $0.08 
002518,MULTIVITAMIN WITH MINERALS,,TABLET ER, $0.08 
002519,MULTIVITAMIN WITH MINERALS,,COMBO. PKG, $0.08 
002520,"MULTIVITAMIN,THERAPEUTIC",,CAPSULE, $0.08 
002522,"MULTIVITAMIN,THERAPEUTIC",,LIQUID, $0.08 
002523,"MULTIVITAMIN,THERAPEUTIC",,TABLET, $0.08 
002524,MULTIVITAMIN,,CAPSULE, $0.08 
002527,MULTIVITAMIN,,VIAL, $0.08 
002528,MULTIVITAMIN,,VIAL, $0.08 
002529,MULTIVITAMIN,,POWDER, $0.08 
002530,MULTIVITAMIN,,LIQUID, $0.08 
002532,MULTIVITAMIN,,TABLET, $0.08 
002533,MULTIVITAMIN,,TAB CHEW, $0.08 
002534,MULTIVITAMIN,,COMBO. PKG, $0.08 
002535,ALLOPURINOL,100 MG,TABLET, $0.07 
002536,ALLOPURINOL,300 MG,TABLET, $0.10 
002537,CARBIDOPA/LEVODOPA,10MG-100MG,TABLET, $0.10 
002538,CARBIDOPA/LEVODOPA,25MG-100MG,TABLET, $0.08 
002539,CARBIDOPA/LEVODOPA,25MG-250MG,TABLET, $0.14 
002542,PENICILLAMINE,250 MG,CAPSULE, $14.34 
002543,PENICILLAMINE,250 MG,TABLET, $40.12 
002544,DEFEROXAMINE MESYLATE,500 MG,VIAL, $13.59 
002554,TRIENTINE HCL,250 MG,CAPSULE, $7.11 
002566,ACTIVATED CHARCOAL,260 MG,CAPSULE, $0.13 
002599,TRIAMCINOLONE ACETONIDE,0.1 %,PASTE (G), $5.12 
002619,FLUORIDE (SODIUM),0.5 MG/ML,DROPS, $0.31 
002659,SODIUM BICARBONATE,325 MG,TABLET, $0.01 
002661,SODIUM BICARBONATE,650 MG,TABLET, $0.02 
002689,CALCIUM CARBONATE,200(500)MG,TAB CHEW, $0.02 
002690,CALCIUM CARBONATE,300MG(750),TAB CHEW, $0.04 
002701,MAG HYDROX/ALUMINUM HYD/SIMETH,200-200-20,ORAL SUSP, $0.01 
002706,MAG HYDROX/ALUMINUM HYD/SIMETH,400-400-40,ORAL SUSP, $0.02 
002708,MAG HYDROX/ALUMINUM HYD/SIMETH,200-200-25,TAB CHEW, $0.08 
002766,SUCRALFATE,1 G,TABLET, $0.27 
002767,MISOPROSTOL,200 MCG,TABLET, $0.51 
002799,LACTASE,3000 UNIT,TABLET, $0.11 
002810,"ENZYMES,DIGESTIVE",,CAPSULE, $0.48 
002814,SIMETHICONE,125 MG,CAPSULE, $0.06 
002815,SIMETHICONE,40MG/0.6ML,DROPS SUSP, $0.11 
002819,SIMETHICONE,125 MG,TAB CHEW, $0.04 
002821,SIMETHICONE,80 MG,TAB CHEW, $0.03 
002841,DIPHENOXYLATE HCL/ATROPINE,2.5-.025MG,TABLET, $0.18 
002842,LOPERAMIDE HCL,2 MG,CAPSULE, $0.09 
002846,L. ACIDOPHILUS/L.BULGARICUS,100MM CELL,GRAN PACK, $1.94 
002858,BISMUTH SUBSALICYLATE,262MG/15ML,ORAL SUSP, $0.02 
002859,BISMUTH SUBSALICYLATE,525MG/15ML,ORAL SUSP, $0.01 
002860,BISMUTH SUBSALICYLATE,262 MG,TAB CHEW, $0.14 
002922,SENNOSIDES,8.8MG/5ML,SYRUP, $0.04 
002944,BISACODYL,10 MG,SUPP.RECT, $0.11 
002947,BISACODYL,5 MG,TABLET DR, $0.01 
002996,MINERAL OIL,,ENEMA, $0.01 
002997,MINERAL OIL,,OIL, $0.01 
003005,DOCUSATE CALCIUM,240 MG,CAPSULE, $0.07 
003009,DOCUSATE SODIUM,100 MG,CAPSULE, $0.02 
003011,DOCUSATE SODIUM,250 MG,CAPSULE, $0.04 
003017,DOCUSATE SODIUM,50 MG/5 ML,LIQUID, $0.02 
003020,DOCUSATE SODIUM,100 MG,TABLET, $0.01 
003025,MAGNESIUM CITRATE,,SOLUTION, $0.00 
003026,MAGNESIUM HYDROXIDE,400 MG/5ML,ORAL SUSP, $0.01 
003029,"SODIUM PHOSPHATE,MONO-DIBASIC",19G-7G/118,ENEMA, $0.01 
003065,CALCIUM POLYCARBOPHIL,625 MG,TABLET, $0.06 
003095,URSODIOL,300 MG,CAPSULE, $0.80 
003097,SINCALIDE,5 MCG,VIAL, $124.13 
003100,CHOLESTYRAMINE/ASPARTAME,4 G,POWD PACK, $0.77 
003101,COLESTIPOL HCL,5 G,GRANULES, $0.31 
003102,COLESTIPOL HCL,5 G,PACKET, $2.63 
003110,INDOCYANINE GREEN,25 MG,VIAL, $50.72 
003143,LACTULOSE,10 G/15 ML,SOLUTION, $0.01 
003147,TESTOSTERONE CYPIONATE,100 MG/ML,VIAL, $5.91 
003148,TESTOSTERONE CYPIONATE,200 MG/ML,VIAL, $7.18 
003152,TESTOSTERONE ENANTHATE,200 MG/ML,VIAL, $9.85 
003161,METHYLTESTOSTERONE,10 MG,CAPSULE, $63.69 
003173,"CHORIONIC GONADOTROPIN, HUMAN",10000 UNIT,VIAL, $256.25 
003180,OXANDROLONE,2.5 MG,TABLET, $4.42 
003198,ESTRADIOL VALERATE,10 MG/ML,VIAL, $27.21 
003199,ESTRADIOL VALERATE,20 MG/ML,VIAL, $21.31 
003200,ESTRADIOL VALERATE,40 MG/ML,VIAL, $34.54 
003202,ESTRADIOL,0.05MG/24H,PATCH TDSW, $7.78 
003203,ESTRADIOL,0.1MG/24HR,PATCH TDSW, $9.42 
003204,ESTRADIOL,1 MG,TABLET, $0.08 
003205,ESTRADIOL,2 MG,TABLET, $0.16 
003262,PROGESTERONE,50 MG/ML,VIAL, $2.14 
003271,MEDROXYPROGESTERONE ACETATE,10 MG,TABLET, $0.20 
003272,MEDROXYPROGESTERONE ACETATE,2.5 MG,TABLET, $0.18 
