gsn,drugname,strength,dosetype, cost 
000592,ACETYLCYSTEINE,200 MG/ML,VIAL, $0.42 
000625,GUAIFEN/DEXTROMETHORPHAN/PE,100-10-5MG,LIQUID, $0.01 
000652,GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,LIQUID, $0.01 
000702,GUAIFENESIN/PHENYLEPHRINE HCL,100-5 MG/5,LIQUID, $0.03 
000758,GUAIFENESIN,200 MG/5ML,LIQUID, $0.01 
000761,GUAIFENESIN,200 MG,TABLET, $0.04 
000846,HYDROCODONE BIT/HOMATROP ME-BR,5 MG-1.5MG,TABLET, $0.66 
000867,ACETAMINOPHEN/CHLORPHENIRAMINE,325MG-2MG,TABLET, $0.40 
000909,BROMPHENIRAMINE/PSEUDOEPHED/DM,2-30-10/5,SYRUP, $0.11 
001153,DEXBROMPHENIRAMINE/PSEUDOEPHED,2 MG-60 MG,TABLET, $0.29 
001166,"WATER FOR INJECTION,STERILE",,IV SOLN, $0.00 
001167,"WATER FOR INJECTION,STERILE",,VIAL, $0.08 
001181,SODIUM BICARBONATE,1 MEQ/ML,SYRINGE, $0.38 
001182,SODIUM BICARBONATE,0.5MEQ/ML,VIAL, $1.97 
001185,SODIUM BICARBONATE,1 MEQ/ML,VIAL, $0.22 
001187,"RINGER'S SOLUTION,LACTATED",,IV SOLN, $0.00 
001188,"RINGER'S SOLUTION,LACTATED",,IRRIG SOLN, $0.01 
001192,DISULFIRAM,250 MG,TABLET, $2.24 
001198,POTASSIUM CHLORIDE IN 0.9%NACL,20 MEQ/L,IV SOLN, $0.01 
001199,POTASSIUM CHLORIDE IN 0.9%NACL,40 MEQ/L,IV SOLN, $0.01 
001205,SODIUM ACETATE,2 MEQ/ML,VIAL, $0.30 
001206,SODIUM ACETATE,4 MEQ/ML,VIAL, $0.11 
001209,SODIUM CHLORIDE 0.45 %,0.45 %,IV SOLN, $0.01 
001210,0.9 % SODIUM CHLORIDE,0.9 %,IV SOLN, $0.00 
001211,SODIUM CHLORIDE 3 %,3 %,IV SOLN, $0.01 
001213,SODIUM CHLORIDE 5 %,5 %,IV SOLN, $0.02 
001218,SODIUM CHLORIDE 0.9 % (FLUSH),0.9 %,SYRINGE, $0.04 
001219,SODIUM CHLORIDE,2.5 MEQ/ML,VIAL, $0.18 
001220,SODIUM CHLORIDE,4 MEQ/ML,VIAL, $0.20 
001221,0.9 % SODIUM CHLORIDE,0.9 %,VIAL, $0.09 
001233,"SOD PHOSPHATE,MONOBASIC-DIBAS",3MMOL/ML,VIAL, $3.88 
001241,POTASSIUM ACETATE,2 MEQ/ML,VIAL, $0.22 
001248,POTASSIUM CHLORIDE,10 MEQ,CAPSULE ER, $0.16 
001249,POTASSIUM CHLORIDE,8 MEQ,CAPSULE ER, $0.36 
001255,POTASSIUM CHLORIDE,2 MEQ/ML,VIAL, $0.15 
001262,POTASSIUM CHLORIDE,20 MEQ,PACKET, $1.21 
001264,POTASSIUM CHLORIDE,20MEQ/15ML,LIQUID, $0.25 
001266,POTASSIUM CHLORIDE,40MEQ/15ML,LIQUID, $0.60 
001275,POTASSIUM CHLORIDE,10 MEQ,TABLET ER, $0.11 
001276,POTASSIUM CHLORIDE,20 MEQ,TABLET ER, $0.48 
001278,POTASSIUM CHLORIDE,8 MEQ,TABLET ER, $0.12 
001285,"POTASSIUM PHOS,M-BASIC-D-BASIC",3MMOL/ML,VIAL, $1.26 
001340,CALCIUM CARBONATE,500(1250),TABLET, $0.02 
001344,CALCIUM CARBONATE,500(1250),TAB CHEW, $0.10 
001349,CALCIUM CHLORIDE,100 MG/ML,SYRINGE, $1.48 
001350,CALCIUM CHLORIDE,100 MG/ML,VIAL, $0.95 
001356,CALCIUM GLUCONATE,100 MG/ML,VIAL, $1.54 
001394,"MAG SULF/VIT BCOMP,C/ZINC",,CAPSULE, $0.08 
001395,"MAG SULF/VIT BCOMP,C/ZINC",,TABLET, $0.08 
001406,MAGNESIUM OXIDE,250 MG,TABLET, $0.03 
001408,MAGNESIUM OXIDE,400 MG,TABLET, $0.01 
001409,MAGNESIUM OXIDE,420 MG,TABLET, $0.05 
001417,MAGNESIUM SULFATE,4 MEQ/ML,VIAL, $0.26 
001422,MAGNESIUM,200 MG,TABLET, $0.04 
001427,RINGER'S SOLUTION,,IV SOLN, $0.01 
001428,RINGER'S SOLUTION,,IRRIG SOLN, $0.01 
001431,ELECTROLYTES/DEXTROSE,,SOLUTION, $0.01 
001447,ELECTROLYTE-A SOLUTION,,IV SOLN, $0.02 
001460,ELECTROLYTE-148 SOLUTION,,IV SOLN, $0.02 
001617,FERROUS FUMARATE,324(106)MG,TABLET, $0.25 
001627,IRON POLYSACCHARIDE COMPLEX,150 MG,CAPSULE, $0.12 
001640,FERROUS SULFATE,300 MG/5ML,LIQUID, $0.50 
001645,FERROUS SULFATE,325(65) MG,TABLET, $0.01 
001646,FERROUS SULFATE,325(65) MG,TABLET DR, $0.12 
001651,ZINC CHLORIDE,1 MG/ML,VIAL, $3.26 
001654,ZINC GLUCONATE,30 MG,TABLET, $0.05 
001656,ZINC GLUCONATE,50 MG,TABLET, $0.02 
001662,ZINC SULFATE,5 MG/ML,VIAL, $10.62 
001665,ZINC SULFATE,50(220)MG,TABLET, $0.03 
001711,"SOD PHOS DI, MONO/K PHOS MONO",250 MG,TABLET, $1.07 
001716,SELENIUM,200 MCG,TABLET, $0.04 
001717,SELENIUM,50 MCG,TABLET, $0.06 
001723,"INSULIN REGULAR, HUMAN",100/ML,VIAL, $15.94 
001740,INSULIN NPH HUMAN ISOPHANE,100/ML,VIAL, $15.94 
001773,GLYBURIDE,1.25 MG,TABLET, $0.16 
001774,GLYBURIDE,2.5 MG,TABLET, $0.09 
001776,GLIPIZIDE,10 MG,TABLET, $0.05 
001777,GLIPIZIDE,5 MG,TABLET, $0.04 
001780,ELECTROLYTES/DEXTROSE,,PACKET, $1.15 
001781,DEXTROSE,40 %,GEL (GRAM), $0.06 
001829,"AMINO ACIDS/MV,IRON,MIN",,TABLET, $0.08 
001863,AMINO ACIDS,,POWDER, $0.19 
001865,AMINO ACIDS,,TABLET, $0.22 
001868,ARGININE,500 MG,CAPSULE, $0.11 
001871,ARGININE,500 MG,TABLET, $0.09 
001880,LYSINE,500 MG,TABLET, $0.03 
001943,MEDIUM CHAIN TRIGLYCERIDES,7.7KCAL/ML,OIL, $0.09 
001949,POTASSIUM CHLORIDE IN D5W,20 MEQ/L,IV SOLN, $0.01 
001969,VITAMIN B COMP AND C/D5W,5 %,IV SOLN, $0.08 
001972,DEXTROSE 5 % IN WATER,5 %,IV SOLN, $0.00 
001978,DEXTROSE 10 % IN WATER,10 %,IV SOLN, $0.01 
001989,DEXTROSE 50 % IN WATER,50 %,SYRINGE, $0.33 
001993,DEXTROSE 70 % IN WATER,70 %,IV SOLN, $0.01 
001999,DEXTROSE 2.5 % AND 0.45 % NACL,2.5%-0.45%,IV SOLN, $0.01 
002000,VIT B COMPLX C/D5-0.9% SOD CLR,,IV SOLN, $0.08 
002001,DEXTROSE 5 % AND 0.9 % NACL,5 %-0.9 %,IV SOLN, $0.01 
002002,POTASSIUM CHLORIDE/D5-0.45NACL,10 MEQ/L,IV SOLN, $0.01 
002003,POTASSIUM CHLORIDE/D5-0.45NACL,20 MEQ/L,IV SOLN, $0.01 
002004,POTASSIUM CHLORIDE/D5-0.45NACL,30 MEQ/L,IV SOLN, $0.01 
002005,POTASSIUM CHLORIDE/D5-0.45NACL,40 MEQ/L,IV SOLN, $0.01 
002006,DEXTROSE 5 %-0.45 % SOD CHLORD,5 %-0.45 %,IV SOLN, $0.00 
002011,DEXTROSE 5 % AND 0.3 % NACL,5 %-0.3 %,IV SOLN, $0.01 
002013,POTASSIUM CHLORIDE/D5-0.2%NACL,20 MEQ/L,IV SOLN, $0.01 
002016,DEXTROSE 5 %-0.2 % SOD CHLORID,5 %-0.2 %,IV SOLN, $0.01 
002024,POTASSIUM CHLORIDE IN LR-D5,20 MEQ/L,IV SOLN, $0.02 
002026,DEXTROSE 5%-LACTATED RINGERS,5 %,IV SOLN, $0.01 
002037,VITAMIN A,3000 MCG,CAPSULE, $0.06 
002047,"VITS A,C,E/ZINC/SELENIUM",,CAPSULE, $0.08 
002049,BETA-CAROTENE,7500 MCG,CAPSULE, $0.03 
002064,VITAMIN B COMPLEX,,CAPSULE, $0.07 
002068,VITAMIN B COMPLEX,,TABLET, $0.02 
002070,VITAMIN B COMPLEX,,TABLET ER, $0.18 
002124,ASCORBIC ACID,500 MG,CAPSULE ER, $0.05 
002132,ASCORBIC ACID,500 MG/ML,VIAL, $1.45 
002144,ASCORBIC ACID,1000 MG,TABLET, $0.06 
002148,ASCORBIC ACID,250 MG,TABLET, $0.02 
002151,ASCORBIC ACID,500 MG,TABLET, $0.02 
002154,ASCORBIC ACID,250 MG,TAB CHEW, $0.06 
002156,ASCORBIC ACID,500 MG,TAB CHEW, $0.03 
002161,ASCORBIC ACID,1000 MG,TABLET ER, $0.06 
002162,ASCORBIC ACID,1500 MG,TABLET ER, $0.16 
002163,ASCORBIC ACID,500 MG,TABLET ER, $0.03 
002169,ERGOCALCIFEROL (VITAMIN D2),1250 MCG,CAPSULE, $0.21 
002171,ERGOCALCIFEROL (VITAMIN D2),200 MCG/ML,DROPS, $0.59 
002173,CHOLECALCIFEROL (VITAMIN D3),25 MCG,CAPSULE, $0.03 
002184,CALCITRIOL,0.25 MCG,CAPSULE, $0.23 
002185,CALCITRIOL,0.5 MCG,CAPSULE, $0.35 
002186,CALCITRIOL,1 MCG/ML,AMPUL, $4.88 
002188,COD LIVER OIL,,CAPSULE, $0.05 
002281,MULTIVITAMIN WITH IRON,,TAB CHEW, $0.06 
002285,MULTIVITAMIN,,TAB CHEW, $0.05 
002287,BIOTIN,10000 MCG,CAPSULE, $0.20 
002301,PHYTONADIONE (VIT K1),10 MG/ML,AMPUL, $58.89 
002305,PHYTONADIONE (VIT K1),5 MG,TABLET, $31.40 
002311,PHYTONADIONE (VIT K1),100 MCG,TABLET, $0.02 
002329,CYANOCOBALAMIN (VITAMIN B-12),1000MCG/ML,VIAL, $2.69 
002336,CYANOCOBALAMIN (VITAMIN B-12),100 MCG,TABLET, $0.03 
002337,CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,TABLET, $0.03 
002339,CYANOCOBALAMIN (VITAMIN B-12),250 MCG,TABLET, $0.02 
002341,CYANOCOBALAMIN (VITAMIN B-12),500 MCG,TABLET, $0.02 
002342,CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,TABLET ER, $0.05 
002345,CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,TAB SUBL, $0.05 
002362,FOLIC ACID,5 MG/ML,VIAL, $3.04 
002364,FOLIC ACID,0.4 MG,TABLET, $0.01 
002365,FOLIC ACID,0.8 MG,TABLET, $0.01 
002366,FOLIC ACID,1 MG,TABLET, $0.03 
002379,NIACIN,250 MG,CAPSULE ER, $0.06 
002386,NIACIN,100 MG,TABLET, $0.01 
002389,NIACIN,250 MG,TABLET, $0.03 
002391,NIACIN,500 MG,TABLET, $0.04 
002394,NIACIN,250 MG,TABLET ER, $0.03 
002395,NIACIN,500 MG,TABLET ER, $0.03 
002396,NIACIN,750 MG,TABLET ER, $0.09 
002403,NIACINAMIDE,500 MG,TABLET, $0.03 
002419,PYRIDOXINE HCL (VITAMIN B6),100 MG/ML,VIAL, $10.49 
002421,PYRIDOXINE HCL (VITAMIN B6),100 MG,TABLET, $0.04 
002423,PYRIDOXINE HCL (VITAMIN B6),25 MG,TABLET, $0.01 
002424,PYRIDOXINE HCL (VITAMIN B6),250 MG,TABLET, $0.09 
002427,PYRIDOXINE HCL (VITAMIN B6),50 MG,TABLET, $0.02 
002436,RIBOFLAVIN (VITAMIN B2),100 MG,TABLET, $0.06 
002437,RIBOFLAVIN (VITAMIN B2),25 MG,TABLET, $0.05 
002440,RIBOFLAVIN (VITAMIN B2),50 MG,TABLET, $0.05 
002446,THIAMINE HCL,100 MG/ML,VIAL, $2.66 
002451,THIAMINE HCL,100 MG,TABLET, $0.04 
002453,THIAMINE HCL,250 MG,TABLET, $0.06 
002455,THIAMINE HCL,50 MG,TABLET, $0.05 
002460,VITAMINS A AND D,,CAPSULE, $0.08 
002461,VITAMINS A AND D,,TABLET, $0.08 
002462,VITAMIN B COMP AND C/ZINC,,CAPSULE ER, $0.08 
002464,B-COMPLEX WITH VITAMIN C,,CAPSULE, $0.08 
002465,B-COMPLEX WITH VITAMIN C,,CAPSULE ER, $0.08 
002467,B-COMPLEX WITH VITAMIN C,,VIAL, $0.08 
002468,B-COMPLEX WITH VITAMIN C,,VIAL, $0.08 
002470,B-COMPLEX WITH VITAMIN C,,TABLET, $0.08 
002472,B-COMPLEX WITH VITAMIN C,,TABLET ER, $0.08 
002474,HEXAVITAMINS,,LIQUID, $0.08 
002475,HEXAVITAMINS,,TABLET, $0.08 
002477,"MULTIVIT,STRESS FORMULA/ZINC",,TABLET, $0.08 
002478,"MULTIVIT,STRESS FORMULA/ZINC",,TABLET ER, $0.08 
002481,"MULTIVITAMIN,STRESS FORMULA",,CAPSULE, $0.08 
002482,"MULTIVITAMIN,STRESS FORMULA",,TABLET, $0.08 
002483,"MULTIVITAMIN,STRESS FORMULA",,COMBO. PKG, $0.08 
002485,"MULTIVIT,TX WITH IRON,MINERALS",,TABLET, $0.08 
002486,"MULTIVIT,TX WITH IRON,MINERALS",,TABLET ER, $0.08 
002487,"MULTIVIT WITH IRON,MINERALS",,CAPSULE, $0.08 
002488,"MULTIVIT WITH IRON,MINERALS",,ELIXIR, $0.08 
002489,"MULTIVIT WITH IRON,MINERALS",,TABLET, $0.08 
002490,"MULTIVIT WITH IRON,MINERALS",,TABLET ER, $0.08 
002491,"MV,CA,FE,MIN/HERBAL DRUGS",,CAPSULE, $0.08 
002492,"MULTIVIT,THX,CALCIUM,IRON,MINS",,TABLET, $0.08 
002493,"MULTIVIT WITH CALCIUM,IRON,MIN",,TABLET, $0.08 
002494,"MULTIVIT WITH CALCIUM,IRON,MIN",,COMBO. PKG, $0.08 
002497,"MULTIVITAMIN WITH IRON,LIVER",,VIAL, $0.08 
002498,"MULTIVITAMIN WITH IRON,LIVER",,TABLET, $0.08 
002499,"MULTIVIT,THER.W-IRON,HEMATINIC",,CAPSULE, $0.08 
002500,"MULTIVIT,THER.W-IRON,HEMATINIC",,TABLET, $0.08 
002501,"MULTIVIT WITH IRON,HEMATINIC",,CAPSULE, $0.08 
002503,"MULTIVIT WITH IRON,HEMATINIC",,TABLET, $0.08 
002507,MULTIVITAMIN WITH IRON,,LIQUID, $0.08 
002508,MULTIVITAMIN WITH IRON,,TABLET, $0.08 
002510,"MULTIVITAMIN,THER AND MINERALS",,CAPSULE, $0.08 
002511,"MULTIVITAMIN,THER AND MINERALS",,TABLET, $0.08 
002512,MULTIVITAMIN WITH MINERALS,,CAPSULE, $0.08 
002513,MULTIVITAMIN WITH MINERALS,,POWDER, $0.08 
002514,MULTIVITAMIN WITH MINERALS,,LIQUID, $0.08 
002515,MULTIVITAMIN WITH MINERALS,,SYRUP, $0.08 
002516,MULTIVITAMIN WITH MINERALS,,TABLET, $0.08 
002517,MULTIVITAMIN WITH MINERALS,,TAB CHEW, $0.08 
002518,MULTIVITAMIN WITH MINERALS,,TABLET ER, $0.08 
002519,MULTIVITAMIN WITH MINERALS,,COMBO. PKG, $0.08 
002520,"MULTIVITAMIN,THERAPEUTIC",,CAPSULE, $0.08 
002522,"MULTIVITAMIN,THERAPEUTIC",,LIQUID, $0.08 
002523,"MULTIVITAMIN,THERAPEUTIC",,TABLET, $0.08 
002524,MULTIVITAMIN,,CAPSULE, $0.08 
002527,MULTIVITAMIN,,VIAL, $0.08 
002528,MULTIVITAMIN,,VIAL, $0.08 
002529,MULTIVITAMIN,,POWDER, $0.08 
002530,MULTIVITAMIN,,LIQUID, $0.08 
002532,MULTIVITAMIN,,TABLET, $0.08 
002533,MULTIVITAMIN,,TAB CHEW, $0.08 
002534,MULTIVITAMIN,,COMBO. PKG, $0.08 
002535,ALLOPURINOL,100 MG,TABLET, $0.06 
002536,ALLOPURINOL,300 MG,TABLET, $0.10 
002537,CARBIDOPA/LEVODOPA,10MG-100MG,TABLET, $0.11 
002538,CARBIDOPA/LEVODOPA,25MG-100MG,TABLET, $0.10 
002539,CARBIDOPA/LEVODOPA,25MG-250MG,TABLET, $0.17 
002543,PENICILLAMINE,250 MG,TABLET, $44.18 
002554,TRIENTINE HCL,250 MG,CAPSULE, $10.99 
002566,ACTIVATED CHARCOAL,260 MG,CAPSULE, $0.13 
002599,TRIAMCINOLONE ACETONIDE,0.1 %,PASTE (G), $7.57 
002642,HYDROCHLORIC ACID,10 %,LIQUID, $0.22 
002659,SODIUM BICARBONATE,325 MG,TABLET, $0.01 
002661,SODIUM BICARBONATE,650 MG,TABLET, $0.02 
002684,CALCIUM CARBONATE,500 MG/5ML,ORAL SUSP, $0.03 
002689,CALCIUM CARBONATE,200(500)MG,TAB CHEW, $0.02 
002690,CALCIUM CARBONATE,300MG(750),TAB CHEW, $0.03 
002701,MAG HYDROX/ALUMINUM HYD/SIMETH,200-200-20,ORAL SUSP, $0.01 
002706,MAG HYDROX/ALUMINUM HYD/SIMETH,400-400-40,ORAL SUSP, $0.01 
002708,MAG HYDROX/ALUMINUM HYD/SIMETH,200-200-25,TAB CHEW, $0.06 
002766,SUCRALFATE,1 G,TABLET, $0.30 
002767,MISOPROSTOL,200 MCG,TABLET, $1.01 
002799,LACTASE,3000 UNIT,TABLET, $0.11 
002810,"ENZYMES,DIGESTIVE",,CAPSULE, $0.56 
002814,SIMETHICONE,125 MG,CAPSULE, $0.06 
002815,SIMETHICONE,40MG/0.6ML,DROPS SUSP, $0.09 
002819,SIMETHICONE,125 MG,TAB CHEW, $0.04 
002821,SIMETHICONE,80 MG,TAB CHEW, $0.03 
002841,DIPHENOXYLATE HCL/ATROPINE,2.5-.025MG,TABLET, $0.19 
002842,LOPERAMIDE HCL,2 MG,CAPSULE, $0.34 
002846,L. ACIDOPHILUS/L.BULGARICUS,100MM CELL,GRAN PACK, $1.97 
002850,LACTOBACILLUS ACIDOPHILUS,,CAPSULE, $0.03 
002858,BISMUTH SUBSALICYLATE,262MG/15ML,ORAL SUSP, $0.01 
002859,BISMUTH SUBSALICYLATE,525MG/15ML,ORAL SUSP, $0.01 
002860,BISMUTH SUBSALICYLATE,262 MG,TAB CHEW, $0.10 
002922,SENNOSIDES,8.8MG/5ML,SYRUP, $0.02 
002944,BISACODYL,10 MG,SUPP.RECT, $0.09 
002947,BISACODYL,5 MG,TABLET DR, $0.01 
002996,MINERAL OIL,,ENEMA, $0.01 
002997,MINERAL OIL,,OIL, $0.01 
003005,DOCUSATE CALCIUM,240 MG,CAPSULE, $0.06 
003009,DOCUSATE SODIUM,100 MG,CAPSULE, $0.02 
003011,DOCUSATE SODIUM,250 MG,CAPSULE, $0.04 
003017,DOCUSATE SODIUM,50 MG/5 ML,LIQUID, $0.02 
003019,DOCUSATE SODIUM,60 MG/15ML,SYRUP, $0.01 
003020,DOCUSATE SODIUM,100 MG,TABLET, $0.01 
003025,MAGNESIUM CITRATE,,SOLUTION, $0.00 
003026,MAGNESIUM HYDROXIDE,400 MG/5ML,ORAL SUSP, $0.01 
003029,"SODIUM PHOSPHATE,MONO-DIBASIC",19G-7G/118,ENEMA, $0.01 
003065,CALCIUM POLYCARBOPHIL,625 MG,TABLET, $0.06 
003095,URSODIOL,300 MG,CAPSULE, $0.85 
003100,CHOLESTYRAMINE/ASPARTAME,4 G,POWD PACK, $0.99 
003101,COLESTIPOL HCL,5 G,GRANULES, $0.31 
003102,COLESTIPOL HCL,5 G,PACKET, $2.70 
003110,INDOCYANINE GREEN,25 MG,VIAL, $50.72 
003143,LACTULOSE,10 G/15 ML,SOLUTION, $0.02 
003147,TESTOSTERONE CYPIONATE,100 MG/ML,VIAL, $5.20 
003148,TESTOSTERONE CYPIONATE,200 MG/ML,VIAL, $14.11 
003152,TESTOSTERONE ENANTHATE,200 MG/ML,VIAL, $9.85 
003161,METHYLTESTOSTERONE,10 MG,CAPSULE, $63.69 
003173,"CHORIONIC GONADOTROPIN, HUMAN",10000 UNIT,VIAL, $256.25 
003180,OXANDROLONE,2.5 MG,TABLET, $4.42 
003199,ESTRADIOL VALERATE,20 MG/ML,VIAL, $33.10 
003200,ESTRADIOL VALERATE,40 MG/ML,VIAL, $35.28 
003202,ESTRADIOL,0.05MG/24H,PATCH TDSW, $9.39 
003203,ESTRADIOL,0.1MG/24HR,PATCH TDSW, $9.14 
003204,ESTRADIOL,1 MG,TABLET, $0.13 
003205,ESTRADIOL,2 MG,TABLET, $0.21 
003262,PROGESTERONE,50 MG/ML,VIAL, $4.03 
003271,MEDROXYPROGESTERONE ACETATE,10 MG,TABLET, $0.18 
003272,MEDROXYPROGESTERONE ACETATE,2.5 MG,TABLET, $0.18 
003273,MEDROXYPROGESTERONE ACETATE,5 MG,TABLET, $0.16 
003274,NORETHINDRONE ACETATE,5 MG,TABLET, $0.94 
003278,METHYLERGONOVINE MALEATE,.2MG/ML(1),AMPUL, $12.95 
003279,METHYLERGONOVINE MALEATE,0.2 MG,TABLET, $16.86 
003283,OXYTOCIN,10 UNIT/ML,VIAL, $0.88 
003285,CARBOPROST TROMETHAMINE,250 MCG/ML,AMPUL, $197.55 
